region	chr	midPos	Nsites
(272,1184)(161084,162008)(150000,200000)	JASDQU010012341.1	175000	914	0.744248
(349,370)(290998,291037)(250000,300000)	JASDQU010012357.1	275000	23	0.160147
(115,253)(53243,53381)(50000,100000)	JASDQU010012369.1	75000	140	0.043228
(1458,6565)(210755,235479)(200000,250000)	JASDQU010012376.1	225000	5109	0.163683
(239,315)(189016,189128)(150000,200000)	JASDQU010012402.1	175000	78	0.135685
(846,1645)(150000,165600)(150000,200000)	JASDQU010012403.1	175000	801	0.049285
(925,925)(51856,51856)(50000,100000)	JASDQU010012404.1	75000	2	0.052117
(37,170)(64301,64445)(50000,100000)	JASDQU010012418.1	75000	135	0.522270
(6,1072)(118935,121392)(100000,150000)	JASDQU010012424.1	125000	1068	0.667196
(893,1214)(284595,285001)(250000,300000)	JASDQU010012430.1	275000	323	0.280535
(1620,3110)(53379,81776)(50000,100000)	JASDQU010012433.1	75000	1492	0.254030
(2606,2752)(150000,174796)(150000,200000)	JASDQU010012436.1	175000	148	0.064924
(2753,5302)(244061,246882)(200000,250000)	JASDQU010012436.1	225000	2551	0.233660
(363,2008)(81267,93695)(50000,100000)	JASDQU010012481.1	75000	1647	0.102280
(810,943)(69607,69749)(50000,100000)	JASDQU010012496.1	75000	135	0.039382
(944,1490)(101719,127415)(100000,150000)	JASDQU010012496.1	125000	548	0.066890
(398,2455)(120036,139721)(100000,150000)	JASDQU010012519.1	125000	2059	0.437734
(1016,2275)(183778,185068)(150000,200000)	JASDQU010012534.1	175000	1261	0.329918
(2276,3076)(392687,393499)(350000,400000)	JASDQU010012534.1	375000	802	0.407309
(218,1372)(56244,89679)(50000,100000)	JASDQU010012559.1	75000	1156	0.197219
(490,803)(145089,145478)(100000,150000)	JASDQU010012661.1	125000	315	0.261985
(2292,4985)(50000,85707)(50000,100000)	JASDQU010012687.1	75000	2695	0.538781
(515,846)(231914,232375)(200000,250000)	JASDQU010012707.1	225000	333	0.045491
(526,1126)(163719,191494)(150000,200000)	JASDQU010012758.1	175000	602	0.372302
(473,830)(135352,135793)(100000,150000)	JASDQU010012783.1	125000	359	0.022470
(423,1720)(157288,190093)(150000,200000)	JASDQU010012785.1	175000	1299	0.180251
(1721,1795)(207806,207918)(200000,250000)	JASDQU010012785.1	225000	76	0.127612
(1993,2087)(100525,100626)(100000,150000)	JASDQU010012792.1	125000	96	0.017196
(2088,3308)(293964,295571)(250000,300000)	JASDQU010012792.1	275000	1222	0.114121
(14,1737)(163531,196591)(150000,200000)	JASDQU010012815.1	175000	1725	0.108131
