region	chr	midPos	Nsites
(1308,1400)(160517,160614)(150000,200000)	JASDQU010105403.1	175000	94	0.068752
(995,1124)(122527,122660)(100000,150000)	JASDQU010105420.1	125000	131	0.120572
(4003,8891)(55220,80677)(50000,100000)	JASDQU010105446.1	75000	4890	0.117635
(928,1086)(54936,77252)(50000,100000)	JASDQU010105466.1	75000	160	0.143285
(1011,1410)(54204,77584)(50000,100000)	JASDQU010105481.1	75000	401	0.170720
(316,321)(268615,268620)(250000,300000)	JASDQU010105518.1	275000	7	0.088577
(1167,1708)(124066,124635)(100000,150000)	JASDQU010105543.1	125000	543	0.359245
(214,2434)(151177,155240)(150000,200000)	JASDQU010105574.1	175000	2222	0.264129
(77,1817)(151291,153115)(150000,200000)	JASDQU010105586.1	175000	1742	0.285609
(155,1049)(95214,96114)(50000,100000)	JASDQU010105611.1	75000	896	0.231834
(654,759)(92586,92702)(50000,100000)	JASDQU010105621.1	75000	107	0.047488
(12,198)(100318,100530)(100000,150000)	JASDQU010105639.1	125000	188	0.404162
(242,903)(71400,72066)(50000,100000)	JASDQU010105649.1	75000	663	0.766073
(904,3236)(179480,181835)(150000,200000)	JASDQU010105649.1	175000	2334	0.780876
(786,2552)(68024,70150)(50000,100000)	JASDQU010105660.1	75000	1768	0.411877
(466,491)(146795,146827)(100000,150000)	JASDQU010105681.1	125000	27	0.058105
(336,520)(201879,202201)(200000,250000)	JASDQU010105693.1	225000	186	0.041550
(724,870)(255017,255169)(250000,300000)	JASDQU010105718.1	275000	148	0.727989
(378,544)(116996,117163)(100000,150000)	JASDQU010105722.1	125000	168	0.117218
(170,174)(235537,235541)(200000,250000)	JASDQU010105732.1	225000	6	0.038434
(423,1300)(68164,69110)(50000,100000)	JASDQU010105754.1	75000	879	0.488288
(1301,1721)(259248,288672)(250000,300000)	JASDQU010105754.1	275000	422	0.101017
(1722,2893)(324644,346679)(300000,350000)	JASDQU010105754.1	325000	1173	0.033728
(2,1034)(100003,129760)(100000,150000)	JASDQU010105763.1	125000	1034	0.054885
(1375,1939)(152958,157987)(150000,200000)	JASDQU010105776.1	175000	566	0.045113
(59,475)(139891,140384)(100000,150000)	JASDQU010105783.1	125000	418	0.072900
(3275,3671)(78356,78768)(50000,100000)	JASDQU010105796.1	75000	398	0.323511
(891,1766)(73696,96604)(50000,100000)	JASDQU010105803.1	75000	877	0.045166
(1016,2883)(132107,134009)(100000,150000)	JASDQU010105827.1	125000	1869	0.533222
(49,677)(234205,234889)(200000,250000)	JASDQU010105843.1	225000	630	0.028674
(617,819)(156834,157245)(150000,200000)	JASDQU010105844.1	175000	204	0.050097
(546,982)(59965,60620)(50000,100000)	JASDQU010105888.1	75000	438	0.007216
(249,305)(78408,78476)(50000,100000)	JASDQU010105902.1	75000	58	0.051365
(808,1979)(300265,301458)(300000,350000)	JASDQU010105909.1	325000	1173	0.304796
(6,568)(201321,202004)(200000,250000)	JASDQU010105938.1	225000	564	0.676503
(47,2389)(122010,137335)(100000,150000)	JASDQU010105956.1	125000	2344	0.454619
(972,1832)(57767,58650)(50000,100000)	JASDQU010105968.1	75000	862	0.220303
(916,1746)(71772,72606)(50000,100000)	JASDQU010105997.1	75000	832	0.299360
(1747,1970)(113014,113255)(100000,150000)	JASDQU010105997.1	125000	225	0.022337
(202,398)(193368,193770)(150000,200000)	JASDQU010106001.1	175000	198	0.064422
(399,628)(247310,247583)(200000,250000)	JASDQU010106001.1	225000	231	0.050551
(71,326)(126671,127456)(100000,150000)	JASDQU010106006.1	125000	257	0.084251
(327,853)(232534,233077)(200000,250000)	JASDQU010106006.1	225000	528	0.018423
(854,1224)(298477,299999)(250000,300000)	JASDQU010106006.1	275000	372	0.070139
(989,1121)(82661,82798)(50000,100000)	JASDQU010106011.1	75000	134	0.501541
(288,538)(134012,134302)(100000,150000)	JASDQU010106054.1	125000	252	0.039290
(341,367)(87632,87673)(50000,100000)	JASDQU010106062.1	75000	28	0.044554
(3019,3724)(67735,68960)(50000,100000)	JASDQU010106083.1	75000	707	0.112358
(1469,1994)(77573,78098)(50000,100000)	JASDQU010106093.1	75000	527	0.698932
(462,1268)(60234,64860)(50000,100000)	JASDQU010106116.1	75000	808	0.458687
(349,500)(101078,101229)(100000,150000)	JASDQU010106170.1	125000	153	0.034678
(477,483)(200144,200151)(200000,250000)	JASDQU010106200.1	225000	8	-0.022155
(556,562)(165891,165899)(150000,200000)	JASDQU010106203.1	175000	8	0.049159
(539,691)(53994,54338)(50000,100000)	JASDQU010106214.1	75000	154	0.018083
(1370,2770)(105585,135022)(100000,150000)	JASDQU010106217.1	125000	1402	0.491620
(148,2653)(59457,63384)(50000,100000)	JASDQU010106237.1	75000	2507	0.797342
(356,380)(161588,161626)(150000,200000)	JASDQU010106263.1	175000	26	0.054866
(1807,2535)(137308,138082)(100000,150000)	JASDQU010106277.1	125000	730	0.653036
(1045,1048)(121674,121677)(100000,150000)	JASDQU010106348.1	125000	5	0.131635
(430,2143)(91206,92984)(50000,100000)	JASDQU010106355.1	75000	1715	0.267845
(1194,3830)(91913,98921)(50000,100000)	JASDQU010106386.1	75000	2638	0.320034
(39,743)(247933,249999)(200000,250000)	JASDQU010106411.1	225000	706	0.293474
(744,1563)(250000,268125)(250000,300000)	JASDQU010106411.1	275000	821	0.306966
(385,994)(133377,133995)(100000,150000)	JASDQU010106459.1	125000	611	0.171361
(503,523)(99976,99999)(50000,100000)	JASDQU010106462.1	75000	22	0.036610
(316,655)(78734,79538)(50000,100000)	JASDQU010106466.1	75000	341	0.059503
(656,1340)(120359,121276)(100000,150000)	JASDQU010106466.1	125000	686	0.348484
(1341,1577)(185895,186157)(150000,200000)	JASDQU010106466.1	175000	238	0.166952
(166,247)(107538,107622)(100000,150000)	JASDQU010106475.1	125000	83	0.075659
(958,1840)(132599,133599)(100000,150000)	JASDQU010106495.1	125000	884	0.002169
(1170,6383)(50000,56370)(50000,100000)	JASDQU010106513.1	75000	5215	0.511779
(1503,1989)(54567,55054)(50000,100000)	JASDQU010106522.1	75000	488	0.547547
(1990,2105)(121278,121414)(100000,150000)	JASDQU010106522.1	125000	117	0.069669
(749,1470)(70358,71199)(50000,100000)	JASDQU010106523.1	75000	723	0.093718
(62,106)(69394,69523)(50000,100000)	JASDQU010106536.1	75000	46	0.845207
(1146,2004)(221603,222487)(200000,250000)	JASDQU010106547.1	225000	860	0.617840
(1194,2133)(153792,154740)(150000,200000)	JASDQU010106558.1	175000	941	0.403871
(1886,1920)(123153,123192)(100000,150000)	JASDQU010106565.1	125000	36	0.056677
(56,3851)(55270,60255)(50000,100000)	JASDQU010106570.1	75000	3797	0.419342
(3187,3218)(55014,55069)(50000,100000)	JASDQU010106587.1	75000	33	0.119677
(339,358)(101703,101732)(100000,150000)	JASDQU010106652.1	125000	21	0.048048
(2359,3262)(337687,338596)(300000,350000)	JASDQU010106661.1	325000	905	0.110989
(3594,3861)(112473,112888)(100000,150000)	JASDQU010106678.1	125000	269	0.335833
(1305,1852)(50000,50582)(50000,100000)	JASDQU010106681.1	75000	549	0.590266
(85,119)(275522,275614)(250000,300000)	JASDQU010106704.1	275000	36	0.102992
(132,154)(161385,161475)(150000,200000)	JASDQU010106780.1	175000	24	0.046807
(585,649)(100000,100071)(100000,150000)	JASDQU010106784.1	125000	66	0.262168
(1681,2163)(66916,68698)(50000,100000)	JASDQU010106828.1	75000	484	0.074993
(1009,1048)(125826,125874)(100000,150000)	JASDQU010106847.1	125000	41	0.044693
(1228,2698)(113661,117601)(100000,150000)	JASDQU010106878.1	125000	1472	0.049564
(171,1112)(135041,136211)(100000,150000)	JASDQU010106887.1	125000	943	0.412833
(526,1445)(52658,69635)(50000,100000)	JASDQU010106936.1	75000	921	0.325075
(1446,1462)(210707,210742)(200000,250000)	JASDQU010106936.1	225000	18	0.088078
(1463,2400)(270616,271571)(250000,300000)	JASDQU010106936.1	275000	939	0.082853
(2210,2219)(233420,233439)(200000,250000)	JASDQU010106980.1	225000	11	-0.000012
(269,1212)(109752,140420)(100000,150000)	JASDQU010106981.1	125000	945	0.372179
(1361,2477)(56787,75735)(50000,100000)	JASDQU010106993.1	75000	1118	0.385265
(680,903)(178799,179028)(150000,200000)	JASDQU010107073.1	175000	225	0.064227
(1477,2068)(226518,227209)(200000,250000)	JASDQU010107093.1	225000	593	0.635711
(326,491)(60747,61064)(50000,100000)	JASDQU010107139.1	75000	167	0.078394
(314,758)(205399,213571)(200000,250000)	JASDQU010107148.1	225000	446	0.325661
(759,815)(341576,341633)(300000,350000)	JASDQU010107148.1	325000	58	0.052261
(801,4010)(50000,92663)(50000,100000)	JASDQU010107151.1	75000	3211	0.630750
(535,649)(161143,161257)(150000,200000)	JASDQU010107158.1	175000	116	0.378841
(693,980)(97775,98491)(50000,100000)	JASDQU010107187.1	75000	289	0.296049
(488,908)(79906,80352)(50000,100000)	JASDQU010107188.1	75000	422	0.040807
(850,1451)(89998,90661)(50000,100000)	JASDQU010107242.1	75000	603	0.312582
(1090,1619)(61236,61800)(50000,100000)	JASDQU010107255.1	75000	531	0.218940
(333,1982)(188584,197820)(150000,200000)	JASDQU010107320.1	175000	1651	0.169885
(2703,2946)(58672,92987)(50000,100000)	JASDQU010107329.1	75000	245	0.010017
(931,1092)(123349,123549)(100000,150000)	JASDQU010107333.1	125000	163	0.047892
(13,117)(219080,219190)(200000,250000)	JASDQU010107350.1	225000	106	0.082892
(693,741)(271317,271548)(250000,300000)	JASDQU010107355.1	275000	50	0.801216
(742,1691)(362961,387502)(350000,400000)	JASDQU010107355.1	375000	951	0.371605
(1891,4520)(119150,127914)(100000,150000)	JASDQU010107361.1	125000	2631	0.497193
(9,373)(335938,336409)(300000,350000)	JASDQU010107384.1	325000	366	0.057692
(129,455)(112697,126220)(100000,150000)	JASDQU010107392.1	125000	328	0.068231
(685,1262)(100000,100580)(100000,150000)	JASDQU010107461.1	125000	579	0.187006
(1840,2066)(62673,63078)(50000,100000)	JASDQU010107484.1	75000	228	0.226817
(1308,2559)(250000,296920)(250000,300000)	JASDQU010107490.1	275000	1253	0.327936
(534,2848)(60266,83977)(50000,100000)	JASDQU010107496.1	75000	2316	0.193700
(2213,2623)(52031,99935)(50000,100000)	JASDQU010107497.1	75000	412	0.045377
(2300,3277)(63430,64416)(50000,100000)	JASDQU010107503.1	75000	979	0.637917
(3278,3441)(138679,138935)(100000,150000)	JASDQU010107503.1	125000	165	0.025720
(119,406)(187467,187859)(150000,200000)	JASDQU010107510.1	175000	289	0.057466
(497,679)(125328,125510)(100000,150000)	JASDQU010107513.1	125000	184	0.024614
(1359,1797)(155843,156353)(150000,200000)	JASDQU010107541.1	175000	440	0.107986
(820,1801)(58932,69935)(50000,100000)	JASDQU010107549.1	75000	983	0.175848
(1802,2740)(240237,241175)(200000,250000)	JASDQU010107549.1	225000	940	0.645757
(104,4345)(187701,195766)(150000,200000)	JASDQU010107579.1	175000	4243	0.258823
(462,1126)(137933,140022)(100000,150000)	JASDQU010107603.1	125000	666	0.748252
(1127,1475)(156215,156582)(150000,200000)	JASDQU010107603.1	175000	350	0.041934
(1476,1844)(227563,227942)(200000,250000)	JASDQU010107603.1	225000	370	0.036543
(1845,3779)(254869,283518)(250000,300000)	JASDQU010107603.1	275000	1936	0.187576
(1856,1872)(148724,148781)(100000,150000)	JASDQU010107614.1	125000	18	0.060368
(401,504)(57422,57533)(50000,100000)	JASDQU010107624.1	75000	105	0.111533
(2240,2340)(80910,81011)(50000,100000)	JASDQU010107633.1	75000	102	0.050274
(169,544)(111747,113704)(100000,150000)	JASDQU010107665.1	125000	377	0.364266
(644,10439)(126282,145587)(100000,150000)	JASDQU010107682.1	125000	9797	0.415034
(2913,3016)(151757,194867)(150000,200000)	JASDQU010107804.1	175000	105	0.033137
(3017,3470)(200912,247955)(200000,250000)	JASDQU010107804.1	225000	455	0.045898
(341,443)(264976,265083)(250000,300000)	JASDQU010107820.1	275000	104	0.044340
(358,1377)(106877,107920)(100000,150000)	JASDQU010107839.1	125000	1021	0.660798
(122,150)(190269,190309)(150000,200000)	JASDQU010107870.1	175000	30	-0.021027
(466,1163)(64816,66002)(50000,100000)	JASDQU010107883.1	75000	699	0.166420
(426,530)(92698,92835)(50000,100000)	JASDQU010107884.1	75000	106	0.910400
(617,1403)(67283,68085)(50000,100000)	JASDQU010107903.1	75000	788	0.201742
(1684,2841)(66308,69684)(50000,100000)	JASDQU010107926.1	75000	1159	0.873590
(156,205)(50021,50081)(50000,100000)	JASDQU010107941.1	75000	51	0.012196
(1132,1273)(169170,169312)(150000,200000)	JASDQU010108008.1	175000	143	0.092737
(210,518)(52660,55955)(50000,100000)	JASDQU010108038.1	75000	310	0.017947
(47,114)(78274,78358)(50000,100000)	JASDQU010108052.1	75000	69	0.053189
(2881,3149)(107334,107747)(100000,150000)	JASDQU010108071.1	125000	270	0.495111
(92,121)(190778,190859)(150000,200000)	JASDQU010108075.1	175000	31	0.041463
(39,1880)(82967,86031)(50000,100000)	JASDQU010108077.1	75000	1843	0.258108
(194,808)(200059,201055)(200000,250000)	JASDQU010108087.1	225000	616	0.400179
(487,903)(93867,94293)(50000,100000)	JASDQU010108112.1	75000	418	0.051443
(516,624)(153031,153489)(150000,200000)	JASDQU010108127.1	175000	110	0.063235
(281,1858)(63038,96476)(50000,100000)	JASDQU010108138.1	75000	1579	0.199811
(473,2216)(81476,84137)(50000,100000)	JASDQU010108151.1	75000	1745	0.244576
(3729,4485)(83687,84459)(50000,100000)	JASDQU010108156.1	75000	758	0.608714
(1421,2263)(113729,114585)(100000,150000)	JASDQU010108173.1	125000	844	0.370905
(438,853)(121761,122185)(100000,150000)	JASDQU010108195.1	125000	417	0.222331
(608,668)(77106,77178)(50000,100000)	JASDQU010108213.1	75000	62	0.089428
(1457,1709)(114035,114480)(100000,150000)	JASDQU010108224.1	125000	254	0.077671
(1710,2225)(165599,166264)(150000,200000)	JASDQU010108224.1	175000	517	0.026218
(39,52)(226322,226335)(200000,250000)	JASDQU010108254.1	225000	15	0.115912
(1072,1991)(285128,286070)(250000,300000)	JASDQU010108277.1	275000	921	0.661533
(849,909)(85874,85946)(50000,100000)	JASDQU010108282.1	75000	62	0.054230
(476,1084)(101099,101772)(100000,150000)	JASDQU010108286.1	125000	610	0.066892
(188,347)(56530,56689)(50000,100000)	JASDQU010108287.1	75000	161	0.448081
(346,780)(127942,129830)(100000,150000)	JASDQU010108312.1	125000	436	0.037395
(498,1064)(131995,132600)(100000,150000)	JASDQU010108330.1	125000	568	0.415479
(64,408)(110031,123653)(100000,150000)	JASDQU010108365.1	125000	346	0.263934
(511,1643)(100198,149999)(100000,150000)	JASDQU010108386.1	125000	1134	0.096869
(60,398)(134473,134822)(100000,150000)	JASDQU010108391.1	125000	340	0.132090
(651,836)(315121,315342)(300000,350000)	JASDQU010108455.1	325000	187	0.132579
(190,518)(59245,59596)(50000,100000)	JASDQU010108491.1	75000	330	0.031520
(519,1188)(340997,344091)(300000,350000)	JASDQU010108491.1	325000	671	0.075962
(1830,2176)(80005,80351)(50000,100000)	JASDQU010108501.1	75000	348	0.032482
(2177,2288)(140887,141029)(100000,150000)	JASDQU010108501.1	125000	113	0.173016
(2303,3086)(50000,96346)(50000,100000)	JASDQU010108503.1	75000	785	0.311802
(145,554)(74311,74766)(50000,100000)	JASDQU010108508.1	75000	411	0.283056
(1105,3152)(66683,68984)(50000,100000)	JASDQU010108575.1	75000	2049	0.613988
(351,557)(81092,83214)(50000,100000)	JASDQU010108591.1	75000	208	0.084675
(776,2283)(257929,279805)(250000,300000)	JASDQU010108604.1	275000	1509	0.686656
(2339,2564)(69990,70370)(50000,100000)	JASDQU010108623.1	75000	227	0.682204
(769,920)(103545,126910)(100000,150000)	JASDQU010108665.1	125000	153	0.138700
(921,3208)(165108,168991)(150000,200000)	JASDQU010108665.1	175000	2289	0.294955
(309,519)(132725,138005)(100000,150000)	JASDQU010108668.1	125000	212	0.110896
(1199,1521)(181067,181561)(150000,200000)	JASDQU010108700.1	175000	324	0.019490
(12,962)(78761,80585)(50000,100000)	JASDQU010108752.1	75000	952	0.448141
(2143,2630)(197490,197979)(150000,200000)	JASDQU010108754.1	175000	489	0.017356
(324,755)(166704,167186)(150000,200000)	JASDQU010108758.1	175000	433	0.333969
(55,978)(198871,199808)(150000,200000)	JASDQU010108781.1	175000	925	0.037064
(2615,3731)(83668,89268)(50000,100000)	JASDQU010108820.1	75000	1118	0.021602
(110,172)(84905,84992)(50000,100000)	JASDQU010108849.1	75000	64	0.004301
(1068,1143)(57620,57755)(50000,100000)	JASDQU010108896.1	75000	77	0.021367
(692,3024)(65666,68496)(50000,100000)	JASDQU010108900.1	75000	2334	0.504455
(14,147)(106338,115795)(100000,150000)	JASDQU010108903.1	125000	135	0.049426
(28,361)(129002,129708)(100000,150000)	JASDQU010108936.1	125000	335	0.290059
(377,561)(66114,66299)(50000,100000)	JASDQU010108945.1	75000	186	0.038007
(1171,1849)(123259,124022)(100000,150000)	JASDQU010109025.1	125000	680	0.091104
(1823,1971)(171293,171462)(150000,200000)	JASDQU010109088.1	175000	150	0.098363
(780,1804)(203413,204447)(200000,250000)	JASDQU010109150.1	225000	1026	0.407971
(575,2281)(100001,116318)(100000,150000)	JASDQU010109171.1	125000	1708	0.502820
(1697,2887)(150047,181049)(150000,200000)	JASDQU010109179.1	175000	1192	0.296407
(29,155)(102914,103056)(100000,150000)	JASDQU010109226.1	125000	128	0.042243
(2377,3581)(50000,51208)(50000,100000)	JASDQU010109237.1	75000	1206	0.096208
(865,971)(92588,92921)(50000,100000)	JASDQU010109259.1	75000	108	0.552602
(8,407)(56207,56774)(50000,100000)	JASDQU010109280.1	75000	401	0.024077
(895,3767)(52965,57624)(50000,100000)	JASDQU010109285.1	75000	2874	0.764654
(302,3725)(120645,127239)(100000,150000)	JASDQU010109345.1	125000	3425	0.573779
(67,361)(76656,77000)(50000,100000)	JASDQU010109351.1	75000	296	0.198411
(223,346)(109365,109489)(100000,150000)	JASDQU010109385.1	125000	125	0.136040
(3055,5586)(115253,139227)(100000,150000)	JASDQU010109394.1	125000	2533	0.615115
(5587,6915)(159300,186840)(150000,200000)	JASDQU010109394.1	175000	1330	0.574709
(57,3649)(88183,95832)(50000,100000)	JASDQU010109408.1	75000	3594	0.427496
(817,1555)(65034,99999)(50000,100000)	JASDQU010109438.1	75000	740	0.115544
(2521,2559)(50238,50281)(50000,100000)	JASDQU010109452.1	75000	40	0.057465
(276,1234)(50000,55976)(50000,100000)	JASDQU010109471.1	75000	960	0.006924
(1256,3463)(133618,137080)(100000,150000)	JASDQU010109472.1	125000	2209	0.375599
(359,2265)(101051,107184)(100000,150000)	JASDQU010109475.1	125000	1908	0.214545
(200,351)(165881,166392)(150000,200000)	JASDQU010109483.1	175000	153	0.021281
(1040,2730)(50689,80691)(50000,100000)	JASDQU010109506.1	75000	1692	0.169383
(2201,2489)(82395,82708)(50000,100000)	JASDQU010109514.1	75000	290	0.317876
(1359,4204)(101214,105480)(100000,150000)	JASDQU010109516.1	125000	2847	0.728143
(1811,1928)(110694,127928)(100000,150000)	JASDQU010109521.1	125000	119	0.533149
(234,806)(78278,82914)(50000,100000)	JASDQU010109530.1	75000	574	0.059023
(30,873)(100000,102860)(100000,150000)	JASDQU010109551.1	125000	845	0.207055
(14,2822)(109058,127190)(100000,150000)	JASDQU010109553.1	125000	2810	0.171221
(60,941)(127945,134153)(100000,150000)	JASDQU010109555.1	125000	883	0.122635
(139,141)(90716,90718)(50000,100000)	JASDQU010109556.1	75000	4	0.048050
(78,449)(62667,78745)(50000,100000)	JASDQU010109572.1	75000	373	0.450896
(745,751)(143798,143804)(100000,150000)	JASDQU010109601.1	125000	8	0.091794
(1009,2285)(61434,86887)(50000,100000)	JASDQU010109603.1	75000	1278	0.050432
(422,1139)(147513,149849)(100000,150000)	JASDQU010109609.1	125000	719	0.473578
(1065,1677)(96488,97232)(50000,100000)	JASDQU010109656.1	75000	614	0.017813
(215,594)(219001,219422)(200000,250000)	JASDQU010109682.1	225000	381	0.611372
(68,691)(132542,133177)(100000,150000)	JASDQU010109692.1	125000	625	0.380804
(6362,6569)(100840,101114)(100000,150000)	JASDQU010171966.1	125000	209	0.316451
(496,1471)(77884,82432)(50000,100000)	JASDQU010172412.1	75000	977	0.023176
(1472,3111)(302130,303894)(300000,350000)	JASDQU010172412.1	325000	1641	0.248070
(3112,3710)(487320,487979)(450000,500000)	JASDQU010172412.1	475000	600	0.014046
(3711,3957)(503225,503691)(500000,550000)	JASDQU010172412.1	525000	248	0.004810
(2126,2726)(119984,120597)(100000,150000)	JASDQU010190231.1	125000	602	0.518255
(205,1449)(194105,196427)(150000,200000)	JASDQU010193117.1	175000	1246	0.384407
(1246,1589)(50913,51256)(50000,100000)	JASDQU010197169.1	75000	345	0.745657
(325,1162)(56903,62778)(50000,100000)	JASDQU010202924.1	75000	839	0.323158
(124,713)(52517,53116)(50000,100000)	JASDQU010205369.1	75000	591	0.489228
(1041,1304)(55297,55607)(50000,100000)	JASDQU010206420.1	75000	265	0.251643
(121,707)(251353,261056)(250000,300000)	JASDQU010207124.1	275000	588	0.178522
(3668,3765)(58135,58235)(50000,100000)	JASDQU010209131.1	75000	99	0.042677
(614,1473)(53704,54572)(50000,100000)	JASDQU010210767.1	75000	861	0.230988
(1869,1924)(220435,220491)(200000,250000)	JASDQU010212495.1	225000	57	0.048994
(695,1327)(106658,107452)(100000,150000)	JASDQU010217792.1	125000	634	0.092130
(423,1053)(245544,246174)(200000,250000)	JASDQU010220853.1	225000	632	0.050657
(136,653)(279549,294099)(250000,300000)	JASDQU010237826.1	275000	519	0.485508
(274,417)(218978,219123)(200000,250000)	JASDQU010240418.1	225000	145	0.077974
(329,1421)(65051,66181)(50000,100000)	JASDQU010240421.1	75000	1094	0.081924
(656,1580)(210882,245831)(200000,250000)	JASDQU010240455.1	225000	926	0.086580
(52,522)(87209,87679)(50000,100000)	JASDQU010240465.1	75000	472	0.277235
(2496,3953)(150000,151461)(150000,200000)	JASDQU010240480.1	175000	1459	0.532919
(59,828)(56199,59228)(50000,100000)	JASDQU010240492.1	75000	771	0.252281
(662,907)(110757,111146)(100000,150000)	JASDQU010240514.1	125000	247	0.043393
(63,2342)(82698,84984)(50000,100000)	JASDQU010240543.1	75000	2281	0.261534
(167,326)(100942,136318)(100000,150000)	JASDQU010240556.1	125000	161	0.360661
(1894,7409)(82083,87997)(50000,100000)	JASDQU010240571.1	75000	5517	0.200037
(7410,7771)(160702,183566)(150000,200000)	JASDQU010240571.1	175000	363	0.025283
(851,1278)(57795,97317)(50000,100000)	JASDQU010240616.1	75000	429	0.144126
(3564,8518)(50000,86426)(50000,100000)	JASDQU010240623.1	75000	4956	0.801816
(3373,4935)(113584,115185)(100000,150000)	JASDQU010240624.1	125000	1564	0.568215
(1066,1597)(113984,114531)(100000,150000)	JASDQU010240652.1	125000	533	0.343770
(224,841)(201949,202571)(200000,250000)	JASDQU010240674.1	225000	619	0.265734
(1577,2350)(151429,191226)(150000,200000)	JASDQU010240697.1	175000	775	0.037507
(6137,7135)(50000,51207)(50000,100000)	JASDQU010240714.1	75000	1000	0.569856
(1148,1998)(101852,102724)(100000,150000)	JASDQU010240716.1	125000	852	0.752906
(1133,3815)(83691,93764)(50000,100000)	JASDQU010240744.1	75000	2684	0.157346
(267,1096)(172025,191988)(150000,200000)	JASDQU010240758.1	175000	831	0.028656
(573,1930)(104521,112420)(100000,150000)	JASDQU010240767.1	125000	1359	0.135601
(615,1485)(188177,189070)(150000,200000)	JASDQU010240781.1	175000	872	0.236540
(8,289)(90986,91378)(50000,100000)	JASDQU010240829.1	75000	283	0.489310
(1773,1791)(142840,142869)(100000,150000)	JASDQU010240835.1	125000	20	0.053413
(642,927)(72489,72796)(50000,100000)	JASDQU010240846.1	75000	287	0.281453
(487,634)(61967,62233)(50000,100000)	JASDQU010240868.1	75000	149	0.095733
(1405,2958)(53177,55514)(50000,100000)	JASDQU010240888.1	75000	1555	0.696050
(3245,4861)(109750,140186)(100000,150000)	JASDQU010240926.1	125000	1618	0.449061
(748,762)(80433,80449)(50000,100000)	JASDQU010240929.1	75000	16	0.048898
(1916,3015)(50003,52890)(50000,100000)	JASDQU010240943.1	75000	1101	0.493206
(3016,3959)(247744,249999)(200000,250000)	JASDQU010240943.1	225000	945	0.636564
(237,843)(77843,78486)(50000,100000)	JASDQU010240968.1	75000	608	0.298458
(913,4285)(117771,125082)(100000,150000)	JASDQU010240973.1	125000	3374	0.286089
(881,982)(92186,92324)(50000,100000)	JASDQU010240974.1	75000	103	0.038605
(523,649)(99133,99286)(50000,100000)	JASDQU010240981.1	75000	128	0.020415
(381,3866)(119562,124806)(100000,150000)	JASDQU010241029.1	125000	3487	0.318922
(224,3108)(158083,160992)(150000,200000)	JASDQU010241056.1	175000	2886	0.601397
(615,1225)(139808,140457)(100000,150000)	JASDQU010241097.1	125000	612	0.243464
(143,3109)(86148,90421)(50000,100000)	JASDQU010241109.1	75000	2968	0.327607
(364,918)(50000,50555)(50000,100000)	JASDQU010241112.1	75000	556	0.384883
(189,1344)(252453,255937)(250000,300000)	JASDQU010241141.1	275000	1157	0.624605
(19,280)(99162,99529)(50000,100000)	JASDQU010241144.1	75000	263	0.198978
(694,834)(193861,198918)(150000,200000)	JASDQU010241145.1	175000	142	0.072228
(172,244)(80798,80883)(50000,100000)	JASDQU010241176.1	75000	74	0.052593
(4618,4667)(78144,78194)(50000,100000)	JASDQU010241217.1	75000	51	0.694941
(898,953)(109829,109888)(100000,150000)	JASDQU010241242.1	125000	57	0.790252
(643,737)(55915,56015)(50000,100000)	JASDQU010241249.1	75000	96	0.076294
(3757,9118)(87230,94393)(50000,100000)	JASDQU010241290.1	75000	5363	0.508580
(9119,10106)(105382,147525)(100000,150000)	JASDQU010241290.1	125000	989	0.529778
(10107,10685)(176576,177163)(150000,200000)	JASDQU010241290.1	175000	580	0.848939
(566,900)(68608,68968)(50000,100000)	JASDQU010241301.1	75000	336	0.791511
(105,681)(266572,267150)(250000,300000)	JASDQU010241323.1	275000	578	0.152040
(411,1245)(110030,114642)(100000,150000)	JASDQU010241330.1	125000	836	0.557627
(847,1417)(119675,139832)(100000,150000)	JASDQU010241345.1	125000	572	0.060158
(18,671)(145535,146237)(100000,150000)	JASDQU010241349.1	125000	655	0.544937
(3013,11784)(51444,79481)(50000,100000)	JASDQU010241366.1	75000	8773	0.290553
(534,811)(197168,198034)(150000,200000)	JASDQU010241489.1	175000	279	0.596270
(307,653)(68533,96856)(50000,100000)	JASDQU010241596.1	75000	348	0.042531
(40,97)(50425,50527)(50000,100000)	JASDQU010241598.1	75000	59	0.311080
(645,1190)(50000,51933)(50000,100000)	JASDQU010241599.1	75000	547	0.031501
(512,545)(228767,228807)(200000,250000)	JASDQU010241623.1	225000	35	0.145161
(843,1569)(172016,172780)(150000,200000)	JASDQU010241624.1	175000	728	0.034200
(682,720)(115887,115925)(100000,150000)	JASDQU010241676.1	125000	40	0.701614
(692,904)(131189,131574)(100000,150000)	JASDQU010241677.1	125000	214	0.174565
(507,650)(68717,68869)(50000,100000)	JASDQU010241678.1	75000	145	0.131349
(4900,6884)(69042,87766)(50000,100000)	JASDQU010241681.1	75000	1986	0.534520
(11,267)(76193,76713)(50000,100000)	JASDQU010241697.1	75000	258	-0.002480
(403,2970)(73692,79329)(50000,100000)	JASDQU010241714.1	75000	2569	0.778302
(999,1958)(112345,141134)(100000,150000)	JASDQU010241723.1	125000	961	0.346160
(1374,1558)(250000,255056)(250000,300000)	JASDQU010241738.1	275000	186	0.315248
(177,263)(213267,213354)(200000,250000)	JASDQU010241757.1	225000	88	0.065312
(119,790)(115793,123550)(100000,150000)	JASDQU010241761.1	125000	673	0.237482
